,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,MP,Starts,Min,90s,Gls,G-PK,PK,PKatt,CrdY,CrdR,Gls,G-PK
0,Arna-Bjørnar,27,22.4,22,242,1980,22.0,26,26,0,0,14,1,1.18,1.18
1,Avaldsnes,25,24.4,22,242,1980,22.0,40,36,4,4,21,2,1.82,1.64
2,Fart,29,21.9,22,242,1980,22.0,14,13,1,1,15,0,0.64,0.59
3,Klepp,21,25.0,22,242,1980,22.0,48,47,1,1,13,0,2.18,2.14
4,Kolbotn,20,21.8,22,242,1980,22.0,35,32,3,3,10,1,1.59,1.45
5,LSK Kvinner,21,25.3,22,242,1980,22.0,50,44,6,7,6,0,2.27,2.0
6,Lyn,21,20.1,22,242,1980,22.0,23,22,1,1,20,0,1.05,1.0
7,Røa,23,22.9,22,242,1980,22.0,39,35,4,4,27,1,1.77,1.59
8,Sandviken,20,25.3,22,242,1980,22.0,43,40,3,3,10,0,1.95,1.82
9,Stabæk,23,24.7,22,242,1980,22.0,16,15,1,1,12,0,0.73,0.68
10,Trondheims-Ørn,22,21.9,22,242,1980,22.0,26,24,2,2,16,1,1.18,1.09
11,Vålerenga,25,25.2,22,242,1980,22.0,41,40,1,1,19,1,1.86,1.82
