ID,Season,Team_Arna-Bjørnar,Team_Avaldsnes,Team_Fart,Team_Grand Bodø,Team_IF Fløya,Team_Klepp,Team_Kolbotn,Team_LSK Kvinner,Team_Lyn,Team_Medkila,Team_Røa,Team_Sandviken,Team_Stabæk,Team_Trondheims-Ørn,Team_Vålerenga,Opponent_Arna-Bjørnar,Opponent_Avaldsnes,Opponent_Fart,Opponent_Grand Bodø,Opponent_IF Fløya,Opponent_Klepp,Opponent_Kolbotn,Opponent_LSK Kvinner,Opponent_Lyn,Opponent_Medkila,Opponent_Røa,Opponent_Sandviken,Opponent_Stabæk,Opponent_Trondheims-Ørn,Opponent_Vålerenga,Venue_Away,Venue_Home,Game # in season,Avg. Historical Score Diff,Team's goals per 90 min last season,Opponent's goals per 90 min last season,Team's Avg. Age,Opponent's Avg. Age,Top 5 Team,Top 5 Opponent
0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,-0.16666666666666666,1.18,2.18,21.9,25.0,0,1
1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,-0.16666666666666666,1.77,1.86,22.9,25.2,0,1
2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,-1.8333333333333333,1.18,1.18,21.9,22.4,0,0
3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,1.25,1.86,1.05,25.2,20.1,1,0
4,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1.1666666666666667,1.18,1.59,22.4,21.8,0,0
5,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,2.18,1.18,25.0,22.4,1,0
6,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.6666666666666666,1.95,1.18,25.3,21.9,1,0
7,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,-0.8333333333333334,1.59,1.77,21.8,22.9,0,0
8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0,-0.14285714285714285,1.77,1.86,22.9,25.2,0,1
9,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,0.0,1.18,2.18,22.4,25.0,0,1
10,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2.3333333333333335,2.27,1.77,25.3,22.9,1,0
11,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,-1.1666666666666667,1.59,1.18,21.8,22.4,0,0
12,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,-1.0,1.05,1.18,20.1,21.9,0,0
13,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0.6666666666666666,2.18,1.82,25.0,24.4,1,1
14,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,-2.25,1.05,1.95,20.1,25.3,0,1
15,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,2.0,2.27,1.77,25.3,22.9,1,0
16,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,-0.6666666666666666,1.18,1.82,22.4,24.4,0,1
17,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1.1666666666666667,1.77,1.95,22.9,25.3,0,1
18,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,2.5,2.27,1.05,25.3,20.1,1,0
19,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,0.16666666666666666,1.86,1.77,25.2,22.9,1,0
20,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,-0.25,1.77,1.05,22.9,20.1,0,0
21,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1.6666666666666667,2.27,1.82,25.3,24.4,1,1
22,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,-1.0,1.59,1.18,21.8,22.4,0,0
23,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.0,0.8333333333333334,1.77,1.59,22.9,21.8,0,0
24,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,-0.8333333333333334,1.18,1.77,21.9,22.9,0,0
25,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,-0.3333333333333333,2.18,1.95,25.0,25.3,1,1
26,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.0,-0.5,1.05,1.59,20.1,21.8,0,0
27,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.0,0.3333333333333333,1.95,1.86,25.3,25.2,1,1
